حيوان (ج) حيوانات,animal
قطّة (ج) قطط,cat
كلب (ج) كلاب,dog
بقرة (ج) بقرات,cow
ثور (ج) ثيران,"bull, ox"
عجل (ج) عجول,calf
جاموس (ج) جواميس,buffalo
بهيمة (ج) بهائم,"cattle, livestock"
غنم (ج) أغنام,sheep
خروف (ج) خراف,lamb
حمار (ج) حمير,donkey
حصان (ج) حصن,horse
جمل (ج) جمال,camel
ماعز (ج) مواعز,goat
خنزير (ج) خنازير,pig
أرنب (ج) ارانب,rabbit
فأر (ج) فئران,mice
جرذ (ج) جرذان,rat
,
طائر (ج) طائرات,bird
عصفور (ج) عصافير,"small bird, sparrow"
ببغاء (ج) ببغاوات,parrot
بطة (ج) بط,duck
حمامة (ج) حمام,pigeon
اوزة (ج) اوز,goose
دجاجة (ج) دجاج,chicken
ديك (ج) ديوك,rooster
ديك رومي,turkey
بومة (ج) بوم,owl
طاووس (ج) طواويس,peacock
لقلق (ج) لقالق,stork
عصفور الجنة,swallow
عصفور دوري,sparrow
نعامة (ج) نعام,ostrich
غراب (ج) غربان,crow
بلبل (ج) بلابل,nightingale
صقر (ج) صقور,"falcon, hawk"
نسر (ج) نسور,eagle
بجعة (ج) بجع,swan
يمامة (ج) يمام,dove
,
زاحف (ج) زواحف,reptile
برمائية (ج) برمائيات,amphibian
ثعبان (ج) ثعابين,snake
أفعى (ج) افاع,
حية قرناء,Sarahan horned viper
سلحفاة (ج) سلاحف,turtle
سحلية (ج) سحال,lizard
ضفدع (ج) ضفادع,frog
تمساح (ج) تماسيح,crocodile
حلزون (ج) حلزونات,snail
,
أسد (ج) اسود,lion
فرس (ج) افراس النهر,hippopotamus
وحيد القرن,rhinoceros
زرافة (ج) زرافات,giraffe
حمار وحشي,zebra
كنغر,kangaroo
ضبع (ج) ضباع,hyena
فهد (ج) فهود,"panther, cheetah"
ذئب (ج) ذئاب,wolf
دبّ (ج) دببة,bear
نمر (ج) نمور,tiger
فيل (ج) فيلة,elephant
قرد (ج) قرود,monkey
,
خفاش (ج) خفافيش,bat
سنجاب,squirrel
ثعلب (ج) ثعالب,fox
غزال (ج) غزلة,"deer, gazelle"
ظبي (ج) ظباء,
,
سمك (ج) أسماك,fish
حوت (ج) حيتان,whale
قرش,shark
دخس,dolphin
أخطبوط (ج) اخطبوطات,octopus
قنديل البحر,jellyfish
حبّار,squid
أبو سيف,swordfish
روبيان,shrimp
سرطان بحري,lobster
سرطان (ج) سرطانات,crab
نجمة البحر,starfish
ثعبان البحر,eel
,
حصان البحر,seahorse
عجل البحر,seal
فظّ (ج) أفظاظ,walrus
سالمون,salmon
قرموط (ج) قراميط,catfish
تنّ,tuna
محار,"oysters, clams"
,
حشرة (ج) حشرات,insect
بعوضة (ج) بعوض,mosquito
ذبابة (ج) ذباب,fly
نحلة (ج) نحل,bee
نملة (ج) نمل,ant
صرصور,cockroach
برغوث (ج) براغيث,flea
قملة (ج) قمل,louse
خنفساء (ج) خنافس,beetle
دبّور (ج) دبابير,wasp
دودة (ج) دود,worm
فراشة (ج) فراش,butterfly
عنكبوت (ج) عناكب,spider
عقربة (ج) عقارب,scorpion
,
ذيل (ج) ذيول,tail
قدم الحيوان,paw
حافر (ج) حوافر,hoof
مخلب (ج) مخالب,claw
فروة (ج) فراوي,fur
منقار (ج) مناقير,beak
جناح (ج) اجنحة,wing
ريشة (ج) ريش,feather
زعنفة (ج) زعانف,fin
نبح - ينبح (نباح),to bark
ماء - يمؤ (مواء),to meow
خار - يخور (خوار),to moo
زقزق - يزقزق (زقزقة),"to tweet, chirp"
زقزق - يزقزق (زقزقة),to twitter
زأر - يزأر (زئير),to roar
صاح - يصيح (صياح),to crow
شهق - يشهق (شهيق),to bray (donkey)
حمحم - يحمحم (حمحمة),to neigh
